Name,Age,Area,Job,Interest,Email,Phone_number,Sex
a1,35,경상북도,웹개발자,서버개발,a1daum.net,31118883331,여
a2,27,강원도,웹개발자,딥러닝,a2google.com,56981492386,남
a3,21,경상북도,대학생,서버개발,a3google.com,26590011857,여
a4,19,전라남도,정보보안가,머신러닝,a4naver.com,50435672114,여
a5,26,충청북도,웹개발자,서버개발,a5naver.com,38496475780,여
a6,28,충청남도,앱개발자,웹개발,a6daum.net,48773938507,남
a7,19,강원도,데이터 사이언티스트,딥러닝,a7google.com,15268700027,남
a8,27,강원도,앱개발자,딥러닝,a8daum.net,68260050110,남
a9,29,제주특별자치도,머신러닝 엔지니어,정보보안,a9daum.net,56119893975,남
a10,35,경기도,앱개발자,딥러닝,a10daum.net,64539274399,여
a11,15,서울특별시,정보보안가,정보보안,a11daum.net,28371523330,여
a12,15,전라북도,앱개발자,앱개발,a12google.com,73003757171,여
a13,22,경기도,대학생,딥러닝,a13naver.com,38759703972,남
a14,27,충청남도,대학생,정보보안,a14daum.net,29585265338,여
a15,28,제주특별자치도,웹개발자,웹개발,a15google.com,87998650798,남
a16,34,서울특별시,웹개발자,서버개발,a16google.com,16314112142,남
a17,35,제주특별자치도,정보보안가,딥러닝,a17naver.com,35666138198,남
a18,33,경상남도,대학생,딥러닝,a18naver.com,30952930037,여
a19,33,제주특별자치도,대학생,머신러닝,a19naver.com,99951247976,남
a20,34,경기도,웹개발자,서버개발,a20naver.com,59373962645,여
a21,34,경기도,웹개발자,앱개발,a21google.com,72942038021,여
a22,21,강원도,앱개발자,딥러닝,a22naver.com,23696323388,여
a23,21,충청북도,정보보안가,서버개발,a23naver.com,66921370981,남
a24,16,서울특별시,데이터 사이언티스트,정보보안,a24daum.net,84858472995,여
a25,20,충청남도,데이터 사이언티스트,딥러닝,a25google.com,95421832500,여
a26,18,경상북도,웹개발자,앱개발,a26daum.net,70874285195,남
a27,35,제주특별자치도,머신러닝 엔지니어,정보보안,a27daum.net,36815491848,여
a28,31,경상남도,대학생,딥러닝,a28google.com,62218078222,남
a29,17,충청남도,머신러닝 엔지니어,서버개발,a29daum.net,30047801895,남
a30,32,경상남도,앱개발자,웹개발,a30google.com,85501903625,남
a31,23,경기도,대학생,앱개발,a31naver.com,99328277341,여
a32,20,서울특별시,머신러닝 엔지니어,딥러닝,a32daum.net,92152580317,남
a33,20,경기도,데이터 사이언티스트,정보보안,a33google.com,56481674364,여
a34,25,서울특별시,대학생,웹개발,a34google.com,55961128518,여
a35,23,강원도,앱개발자,정보보안,a35daum.net,19055574095,여
a36,20,경기도,정보보안가,머신러닝,a36daum.net,29763921051,여
a37,29,경상남도,대학생,서버개발,a37daum.net,16992463328,남
a38,15,충청북도,대학생,앱개발,a38google.com,68159892733,여
a39,31,강원도,웹개발자,서버개발,a39daum.net,28490942072,남
a40,19,강원도,정보보안가,딥러닝,a40google.com,68039999124,여
a41,29,강원도,웹개발자,서버개발,a41daum.net,86606909114,여
a42,35,경기도,머신러닝 엔지니어,웹개발,a42daum.net,64639965214,여
a43,30,경상남도,웹개발자,머신러닝,a43google.com,40287159299,남
a44,18,전라북도,앱개발자,정보보안,a44daum.net,65709395190,여
a45,16,경기도,머신러닝 엔지니어,머신러닝,a45naver.com,34463207115,남
a46,32,서울특별시,데이터 사이언티스트,정보보안,a46daum.net,59846818183,여
a47,19,충청북도,앱개발자,딥러닝,a47daum.net,45764514478,여
a48,25,서울특별시,앱개발자,머신러닝,a48naver.com,67239238868,남
a49,20,서울특별시,정보보안가,정보보안,a49google.com,76966141762,남
a50,21,경상남도,앱개발자,정보보안,a50naver.com,34358246806,남
a51,25,경상남도,웹개발자,앱개발,a51daum.net,51024228706,여
a52,16,전라북도,정보보안가,딥러닝,a52google.com,50147627645,여
a53,26,제주특별자치도,머신러닝 엔지니어,딥러닝,a53google.com,11472631475,남
a54,29,충청남도,대학생,앱개발,a54google.com,27325292044,여
a55,27,경상남도,앱개발자,웹개발,a55naver.com,57330518835,여
a56,17,서울특별시,머신러닝 엔지니어,딥러닝,a56google.com,57656024794,여
a57,31,전라북도,데이터 사이언티스트,정보보안,a57daum.net,84116667363,여
a58,16,경상북도,정보보안가,서버개발,a58daum.net,41671485881,여
a59,29,경기도,대학생,서버개발,a59naver.com,38419889341,남
a60,18,경기도,데이터 사이언티스트,앱개발,a60google.com,61346644610,남
a61,29,충청남도,데이터 사이언티스트,서버개발,a61daum.net,39542275583,여
a62,25,전라남도,웹개발자,머신러닝,a62naver.com,37255818019,남
a63,30,강원도,대학생,정보보안,a63google.com,85335830524,여
a64,21,강원도,앱개발자,앱개발,a64naver.com,74984514130,여
a65,23,충청북도,머신러닝 엔지니어,웹개발,a65google.com,22760887723,남
a66,22,제주특별자치도,머신러닝 엔지니어,서버개발,a66naver.com,91561049118,남
a67,32,전라남도,앱개발자,웹개발,a67google.com,93922781875,여
a68,18,전라남도,웹개발자,웹개발,a68google.com,55046248845,남
a69,33,경기도,앱개발자,정보보안,a69daum.net,17184109934,여
a70,18,경기도,앱개발자,앱개발,a70google.com,31693500228,여
a71,15,서울특별시,대학생,서버개발,a71google.com,65098500189,남
a72,25,전라남도,머신러닝 엔지니어,앱개발,a72google.com,83547966942,남
a73,26,경상북도,머신러닝 엔지니어,앱개발,a73naver.com,14592202665,여
a74,26,제주특별자치도,머신러닝 엔지니어,머신러닝,a74google.com,92313183401,여
